ï»¿RK,YEAR,NAME ,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
661,So,Xeyrius Williams,Dayton,A10,56.0,2.2,4.3,116.9,17.2,59.5,61.8,8.6,16.1,8.0,14.9,5.3,1.3,24.5,0.548,0.429
662,Sr,Justin Leon,Florida,SEC,55.3,2.2,5.0,116.4,15.3,54.7,57.2,6.8,13.3,3.9,13.0,0.6,1.2,20.2,0.478,0.398
663,Sr,Nolan Cressler,Vanderbilt,SEC,58.9,2.2,4.8,111.8,17.3,59.9,60.8,4.1,15.9,16.3,18.8,0.1,1.4,15.9,0.567,0.432
672,Jr,Ja'Quan Newton,Miami FL,ACC,71.1,2.2,1.1,95.5,27.8,46.8,51.1,2.3,10.8,23.6,23.0,0.1,2.2,40.1,0.476,0.275
677,Fr,Kamar Baldwin,Butler,BE,66.9,2.2,6.6,106.3,19.4,55.7,57.4,2.1,15.1,10.7,17.2,2.2,3.8,16.1,0.557,0.372
681,Jr,Junior Robinson,Mount St. Mary's,NEC,83.2,2.2,-0.3,103.7,23.1,51.6,57.4,0.8,4.8,17.9,19.5,0.3,1.6,36.0,0.446,0.398
683,Sr,Derek Willis,Kentucky,SEC,54.6,2.1,8.4,121.8,13.1,59.8,60.6,5.2,21.0,6.3,13.2,4.6,1.6,15.6,0.653,0.377
692,Sr,Mo Alie-Cox,VCU,A10,64.9,2.1,4.9,110.2,18.7,54.3,58.7,9.5,8.9,7.4,18.4,8.4,1.8,47.0,0.543,0.0
693,Fr,Payton Pritchard,Oregon,P12,71.1,2.1,3.5,111.7,15.8,50.2,53.2,2.6,10.7,20.5,18.7,0.3,2.4,26.5,0.465,0.353
694,So,Kamau Stokes,Kansas St.,B12,82.9,2.1,0.8,97.5,22.7,45.1,50.9,1.6,7.6,24.1,22.3,0.0,1.9,41.5,0.348,0.364
695,Jr,Shaquille Morris,Wichita St.,MVC,42.6,2.1,6.2,112.5,24.7,52.6,57.5,7.7,22.9,12.3,15.6,6.9,1.2,38.6,0.533,0.286
698,Sr,Spencer Weisz,Princeton,Ivy,84.5,2.1,4.1,105.8,20.3,48.0,49.9,2.9,16.8,23.9,14.5,1.1,2.8,16.3,0.442,0.337
699,Sr,Marvin Jones,Texas Southern,SWAC,60.2,2.1,1.7,126.0,15.4,61.2,66.2,9.0,22.0,4.3,14.5,6.0,1.4,66.5,0.649,0.211
702,So,Jordan Murphy,Minnesota,B10,67.2,2.1,2.9,103.0,21.8,50.9,53.6,9.6,23.5,6.4,15.6,3.7,1.4,51.6,0.549,0.125
717,Jr,Devon Hall,Virginia,ACC,67.4,2.1,4.5,105.6,19.1,47.3,51.3,3.1,17.3,14.0,13.1,0.6,1.3,27.3,0.428,0.372
718,Sr,RaShid Gaston,Xavier,BE,45.2,2.1,3.3,113.2,20.8,59.0,58.8,15.8,22.5,7.0,16.7,3.2,0.5,46.7,0.59,0.0
724,Sr,Dane Pineau,Saint Mary's,WCC,57.8,2.1,5.5,117.1,16.0,62.4,61.8,12.7,19.6,5.9,18.8,4.8,2.5,33.3,0.672,0.227
725,Fr,Cassius Winston,Michigan St.,B10,51.5,2.1,3.3,106.1,23.5,49.7,54.8,1.0,8.6,46.7,26.5,0.7,2.1,38.5,0.45,0.38
728,Jr,Darral Willis Jr.,Wichita St.,MVC,41.1,2.0,4.3,109.4,28.9,53.7,58.6,11.9,21.0,8.5,18.2,5.5,1.4,55.4,0.539,0.0
753,Fr,De'Anthony Melton,USC,P12,67.3,2.0,6.3,108.0,19.1,48.3,53.0,6.0,13.6,22.5,19.7,3.9,4.1,47.2,0.51,0.284
